borough_pluto,block_pluto,lot_pluto,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitdistrict,sanitsub,address_pluto,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,ltdheight,allzoning1,allzoning2,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exemptland,exempttot,yearbuilt,builtcode,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,borough_finance,neighborhood,building class category,tax class at present,block_finance,lot_finance,ease-ment,building class at present,address_finance,apartment number,zip code,residential units,commercial units,total units,land square feet,gross square feet,year built,tax class at time of sale,building class at time of sale,sale price,sale date,price per sqft,bbl_pluto,unit_bbl
BX,2359.0,7501.0,201.0,43.0,1002.0,7.0,8.0,10455.0,E083,40.0,4400.0,1.0,1.0,,700-704 BROOK AVENUE,C6-2,,,,,,,,,C6-2,,N,RM,4.0,1.0,,VIA VERDE CONDOMINIUM,61422.0,246902.0,9634.0,237268.0,0.0,3847.0,0.0,0.0,0.0,5787.0,2.0,1.0,20.0,222.0,224.0,490.01,81.1,490.01,81.01,,1.0,Y,3.0,5.0,562950.0,8758800.0,489761.0,8685611.0,2010.0,,0.0,0.0,,,4.02,6.02,6.0,6.5,2.0,2023597501.0,127.0,43.0,1008534.0,237641.0,6a,Y,29N 083,20904.0,,2023590051.0,3/22/2010,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2359,1001, ,R4,700 BROOK AVENUE                         ,CO-OP       ,10455,1,0,1,0,0,2010,2,R4,0,2010-03-04,,2023597501.0,2023591001.0
BX,2360.0,7501.0,201.0,71.0,1002.0,7.0,17.0,10451.0,E050,40.0,4000.0,2.0,1.0,,526A EAST 159 STREET,R7-2,,,,,,,,,R7-2,,N,R3,2.0,1.0,,MELROSE COURT CONDOMI,197100.0,264464.0,0.0,264464.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,74.0,4.0,265.0,265.0,187.0,493.0,25.0,42.58,,0.0,Y,0.0,5.0,85750.0,1378126.0,346.0,1236442.0,1993.0,,0.0,0.0,,,1.34,3.44,0.0,6.5,2.0,2023607501.0,47.0,71.0,1008900.0,238176.0,6c,,210S012,20904.0,,2023600006.0,12/21/1993,1.0,16v1,2,MORRISANIA/LONGWOOD      ,04  TAX CLASS 1 CONDOS                      ,1A,2360,1081, ,R3,789B ST ANNS AVENUE                      ,25B         ,10456,1,0,1,0,0,1994,1,R3,190000,2010-11-19,,2023607501.0,2023601081.0
BX,2364.0,7501.0,201.0,71.0,2002.0,7.0,17.0,10455.0,L055,40.0,4000.0,1.0,1.0,,3044 3 AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,14990.0,57586.0,4171.0,53415.0,0.0,4171.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,61.0,62.0,100.0,149.9,100.42,142.0,,0.0,Y,4.0,5.0,146703.0,1653304.0,70891.0,1182378.0,2006.0,,0.0,0.0,,,3.84,6.02,0.0,6.5,2.0,2023647501.0,99.0,71.0,1008458.0,238121.0,6a,,210S 12,20904.0,,2023640002.0,11/25/2008,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2364,1007, ,R4,3044 3 AVENUE                            ,2D          ,10451,1,0,1,0,0,0,2,R4,217000,2010-05-14,,2023647501.0,2023641007.0
BX,2364.0,7501.0,201.0,71.0,2002.0,7.0,17.0,10455.0,L055,40.0,4000.0,1.0,1.0,,3044 3 AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,14990.0,57586.0,4171.0,53415.0,0.0,4171.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,61.0,62.0,100.0,149.9,100.42,142.0,,0.0,Y,4.0,5.0,146703.0,1653304.0,70891.0,1182378.0,2006.0,,0.0,0.0,,,3.84,6.02,0.0,6.5,2.0,2023647501.0,99.0,71.0,1008458.0,238121.0,6a,,210S 12,20904.0,,2023640002.0,11/25/2008,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2364,1019, ,R4,3044 3 AVENUE                            ,3G          ,10451,1,0,1,0,0,2006,2,R4,290000,2010-03-11,,2023647501.0,2023641019.0
BX,2364.0,7501.0,201.0,71.0,2002.0,7.0,17.0,10455.0,L055,40.0,4000.0,1.0,1.0,,3044 3 AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,14990.0,57586.0,4171.0,53415.0,0.0,4171.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,61.0,62.0,100.0,149.9,100.42,142.0,,0.0,Y,4.0,5.0,146703.0,1653304.0,70891.0,1182378.0,2006.0,,0.0,0.0,,,3.84,6.02,0.0,6.5,2.0,2023647501.0,99.0,71.0,1008458.0,238121.0,6a,,210S 12,20904.0,,2023640002.0,11/25/2008,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2364,1048, ,R4,3044 3 AVENUE                            ,7D          ,10451,1,0,1,0,0,2006,2,R4,184000,2010-06-30,,2023647501.0,2023641048.0
BX,2364.0,7501.0,201.0,71.0,2002.0,7.0,17.0,10455.0,L055,40.0,4000.0,1.0,1.0,,3044 3 AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,14990.0,57586.0,4171.0,53415.0,0.0,4171.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,61.0,62.0,100.0,149.9,100.42,142.0,,0.0,Y,4.0,5.0,146703.0,1653304.0,70891.0,1182378.0,2006.0,,0.0,0.0,,,3.84,6.02,0.0,6.5,2.0,2023647501.0,99.0,71.0,1008458.0,238121.0,6a,,210S 12,20904.0,,2023640002.0,11/25/2008,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2364,1059, ,R4,3044 3 AVENUE                            ,9C          ,10451,1,0,1,0,0,2006,2,R4,249000,2010-05-13,,2023647501.0,2023641059.0
BX,2381.0,7501.0,203.0,141.0,3007.0,7.0,17.0,10451.0,L055,42.0,3400.0,1.0,3.0,,837 WASHINGTON AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,21360.0,127825.0,24056.0,103769.0,0.0,12162.0,8367.0,3527.0,0.0,0.0,2.0,1.0,8.0,92.0,93.0,200.62,110.84,200.0,110.84,,0.0,Y,3.0,5.0,690303.0,3682801.0,552946.0,3545444.0,2008.0,,0.0,0.0,,,5.98,6.02,0.0,6.5,2.0,2023817501.0,115.0,141.0,1008634.0,238956.0,6c,Y,210S033,20904.0,,2023810056.0,5/20/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2381,1002, ,R4,837 WASHINGTON AVENUE                    ,2B          ,10451,1,0,1,0,0,2008,2,R4,173000,2010-06-29,,2023817501.0,2023811002.0
BX,2381.0,7501.0,203.0,141.0,3007.0,7.0,17.0,10451.0,L055,42.0,3400.0,1.0,3.0,,837 WASHINGTON AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,21360.0,127825.0,24056.0,103769.0,0.0,12162.0,8367.0,3527.0,0.0,0.0,2.0,1.0,8.0,92.0,93.0,200.62,110.84,200.0,110.84,,0.0,Y,3.0,5.0,690303.0,3682801.0,552946.0,3545444.0,2008.0,,0.0,0.0,,,5.98,6.02,0.0,6.5,2.0,2023817501.0,115.0,141.0,1008634.0,238956.0,6c,Y,210S033,20904.0,,2023810056.0,5/20/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2381,1003, ,R4,837 WASHINGTON AVENUE                    ,2C          ,10451,1,0,1,0,0,2008,2,R4,276100,2010-03-26,,2023817501.0,2023811003.0
BX,2381.0,7501.0,203.0,141.0,3007.0,7.0,17.0,10451.0,L055,42.0,3400.0,1.0,3.0,,837 WASHINGTON AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,21360.0,127825.0,24056.0,103769.0,0.0,12162.0,8367.0,3527.0,0.0,0.0,2.0,1.0,8.0,92.0,93.0,200.62,110.84,200.0,110.84,,0.0,Y,3.0,5.0,690303.0,3682801.0,552946.0,3545444.0,2008.0,,0.0,0.0,,,5.98,6.02,0.0,6.5,2.0,2023817501.0,115.0,141.0,1008634.0,238956.0,6c,Y,210S033,20904.0,,2023810056.0,5/20/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2381,1017, ,R4,837 WASHINGTON AVENUE                    ,3E          ,10451,1,0,1,0,0,2008,2,R4,150000,2010-01-21,,2023817501.0,2023811017.0
BX,2381.0,7501.0,203.0,141.0,3007.0,7.0,17.0,10451.0,L055,42.0,3400.0,1.0,3.0,,837 WASHINGTON AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,21360.0,127825.0,24056.0,103769.0,0.0,12162.0,8367.0,3527.0,0.0,0.0,2.0,1.0,8.0,92.0,93.0,200.62,110.84,200.0,110.84,,0.0,Y,3.0,5.0,690303.0,3682801.0,552946.0,3545444.0,2008.0,,0.0,0.0,,,5.98,6.02,0.0,6.5,2.0,2023817501.0,115.0,141.0,1008634.0,238956.0,6c,Y,210S033,20904.0,,2023810056.0,5/20/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2381,1032, ,R4,837 WASHINGTON AVENUE                    ,4E          ,10451,1,0,1,0,0,2008,2,R4,203812,2010-08-18,,2023817501.0,2023811032.0
BX,2381.0,7501.0,203.0,141.0,3007.0,7.0,17.0,10451.0,L055,42.0,3400.0,1.0,3.0,,837 WASHINGTON AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,21360.0,127825.0,24056.0,103769.0,0.0,12162.0,8367.0,3527.0,0.0,0.0,2.0,1.0,8.0,92.0,93.0,200.62,110.84,200.0,110.84,,0.0,Y,3.0,5.0,690303.0,3682801.0,552946.0,3545444.0,2008.0,,0.0,0.0,,,5.98,6.02,0.0,6.5,2.0,2023817501.0,115.0,141.0,1008634.0,238956.0,6c,Y,210S033,20904.0,,2023810056.0,5/20/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2381,1042, ,R4,837 WASHINGTON AVENUE                    ,4O          ,10451,1,0,1,0,0,2008,2,R4,197788,2010-01-28,,2023817501.0,2023811042.0
